#   2 + 116Sn elastic scattering Elab=183 Mev
# --------- Potential Spin-orbit for projectile and multipole = 0 ---------  
#     r(fm)       V(MeV)       W(MeV)
       5.50        -0.2156     0.0000E+00
       5.51        -0.2152     0.0000E+00
       5.52        -0.2148     0.0000E+00
       5.53        -0.2144     0.0000E+00
       5.54        -0.2140     0.0000E+00
       5.55        -0.2136     0.0000E+00
       5.56        -0.2132     0.0000E+00
       5.57        -0.2128     0.0000E+00
       5.58        -0.2124     0.0000E+00
       5.59        -0.2120     0.0000E+00
       5.60        -0.2116     0.0000E+00
       5.61        -0.2111     0.0000E+00
       5.62        -0.2107     0.0000E+00
       5.63        -0.2102     0.0000E+00
       5.64        -0.2098     0.0000E+00
       5.65        -0.2093     0.0000E+00
       5.66        -0.2088     0.0000E+00
       5.67        -0.2083     0.0000E+00
       5.68        -0.2079     0.0000E+00
       5.69        -0.2074     0.0000E+00
       5.70        -0.2069     0.0000E+00
       5.71        -0.2064     0.0000E+00
       5.72        -0.2058     0.0000E+00
       5.73        -0.2053     0.0000E+00
       5.74        -0.2048     0.0000E+00
       5.75        -0.2043     0.0000E+00
       5.76        -0.2037     0.0000E+00
       5.77        -0.2032     0.0000E+00
       5.78        -0.2027     0.0000E+00
       5.79        -0.2021     0.0000E+00
       5.80        -0.2016     0.0000E+00
       5.81        -0.2010     0.0000E+00
       5.82        -0.2004     0.0000E+00
       5.83        -0.1998     0.0000E+00
       5.84        -0.1993     0.0000E+00
       5.85        -0.1987     0.0000E+00
       5.86        -0.1981     0.0000E+00
       5.87        -0.1975     0.0000E+00
       5.88        -0.1969     0.0000E+00
       5.89        -0.1963     0.0000E+00
       5.90        -0.1957     0.0000E+00
       5.91        -0.1951     0.0000E+00
       5.92        -0.1944     0.0000E+00
       5.93        -0.1938     0.0000E+00
       5.94        -0.1932     0.0000E+00
       5.95        -0.1926     0.0000E+00
       5.96        -0.1919     0.0000E+00
       5.97        -0.1913     0.0000E+00
       5.98        -0.1906     0.0000E+00
       5.99        -0.1900     0.0000E+00
       6.00        -0.1893     0.0000E+00
       6.01        -0.1886     0.0000E+00
       6.02        -0.1880     0.0000E+00
       6.03        -0.1873     0.0000E+00
       6.04        -0.1866     0.0000E+00
       6.05        -0.1860     0.0000E+00
       6.06        -0.1853     0.0000E+00
       6.07        -0.1846     0.0000E+00
       6.08        -0.1839     0.0000E+00
       6.09        -0.1832     0.0000E+00
       6.10        -0.1825     0.0000E+00
       6.11        -0.1818     0.0000E+00
       6.12        -0.1811     0.0000E+00
       6.13        -0.1804     0.0000E+00
       6.14        -0.1797     0.0000E+00
       6.15        -0.1790     0.0000E+00
       6.16        -0.1783     0.0000E+00
       6.17        -0.1775     0.0000E+00
       6.18        -0.1768     0.0000E+00
       6.19        -0.1761     0.0000E+00
