#   2H + 116Sn elastic scattering Elab=183 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       5.83       -33.7184       -15.8859
       5.84       -33.6437       -15.8735
       5.85       -33.5683       -15.8609
       5.86       -33.4922       -15.8483
       5.87       -33.4153       -15.8355
       5.88       -33.3377       -15.8226
       5.89       -33.2594       -15.8096
       5.90       -33.1804       -15.7964
       5.91       -33.1006       -15.7831
       5.92       -33.0201       -15.7696
       5.93       -32.9389       -15.7561
       5.94       -32.8569       -15.7424
       5.95       -32.7742       -15.7285
       5.96       -32.6907       -15.7145
       5.97       -32.6065       -15.7004
       5.98       -32.5215       -15.6862
       5.99       -32.4358       -15.6718
       6.00       -32.3493       -15.6572
       6.01       -32.2621       -15.6425
       6.02       -32.1741       -15.6277
       6.03       -32.0854       -15.6127
       6.04       -31.9959       -15.5976
       6.05       -31.9056       -15.5824
       6.06       -31.8146       -15.5669
       6.07       -31.7228       -15.5514
       6.08       -31.6303       -15.5356
       6.09       -31.5369       -15.5198
       6.10       -31.4428       -15.5038
       6.11       -31.3480       -15.4876
       6.12       -31.2523       -15.4712
       6.13       -31.1559       -15.4548
       6.14       -31.0588       -15.4381
       6.15       -30.9608       -15.4213
       6.16       -30.8621       -15.4043
       6.17       -30.7626       -15.3872
       6.18       -30.6624       -15.3699
       6.19       -30.5613       -15.3525
       6.20       -30.4595       -15.3349
       6.21       -30.3569       -15.3171
       6.22       -30.2536       -15.2991
       6.23       -30.1495       -15.2810
       6.24       -30.0446       -15.2627
       6.25       -29.9389       -15.2443
       6.26       -29.8324       -15.2256
       6.27       -29.7252       -15.2068
       6.28       -29.6173       -15.1879
       6.29       -29.5085       -15.1687
       6.30       -29.3990       -15.1494
       6.31       -29.2888       -15.1299
       6.32       -29.1777       -15.1102
       6.33       -29.0659       -15.0904
       6.34       -28.9534       -15.0703
       6.35       -28.8401       -15.0501
       6.36       -28.7260       -15.0297
       6.37       -28.6112       -15.0091
       6.38       -28.4956       -14.9884
       6.39       -28.3793       -14.9674
       6.40       -28.2623       -14.9463
       6.41       -28.1445       -14.9250
       6.42       -28.0260       -14.9035
       6.43       -27.9067       -14.8818
       6.44       -27.7867       -14.8599
       6.45       -27.6660       -14.8378
       6.46       -27.5445       -14.8155
       6.47       -27.4224       -14.7931
       6.48       -27.2995       -14.7704
       6.49       -27.1759       -14.7475
       6.50       -27.0516       -14.7245
       6.51       -26.9266       -14.7012
       6.52       -26.8010       -14.6778
       6.53       -26.6746       -14.6541
       6.54       -26.5475       -14.6303
       6.55       -26.4198       -14.6062
       6.56       -26.2913       -14.5820
       6.57       -26.1622       -14.5575
       6.58       -26.0325       -14.5329
       6.59       -25.9020       -14.5080
       6.60       -25.7710       -14.4830
       6.61       -25.6393       -14.4577
       6.62       -25.5069       -14.4322
       6.63       -25.3739       -14.4065
       6.64       -25.2403       -14.3806
       6.65       -25.1060       -14.3545
       6.66       -24.9712       -14.3282
       6.67       -24.8357       -14.3017
       6.68       -24.6996       -14.2750
       6.69       -24.5630       -14.2480
       6.70       -24.4257       -14.2209
       6.71       -24.2879       -14.1935
       6.72       -24.1496       -14.1659
       6.73       -24.0106       -14.1381
       6.74       -23.8711       -14.1101
       6.75       -23.7311       -14.0818
       6.76       -23.5905       -14.0534
       6.77       -23.4494       -14.0247
       6.78       -23.3078       -13.9959
